element_type,osmid,access,amenity,covered,fee,parking,geometry,nodes,area,capacity,parking_space
way,1133937109,,parking_space,,,,"POLYGON ((7.0017714 49.2338052, 7.0018006 49.2337942, 7.001767 49.2337555, 7.0017556 49.2337597, 7.0017374 49.2337665, 7.0017714 49.2338052))","[10571713569, 10571713573, 10571713570, 10571713557, 10571713568, 10571713569]",,1,normal
way,1133937110,,parking_space,,,,"POLYGON ((7.0018006 49.2337942, 7.0018298 49.2337831, 7.0018097 49.2337598, 7.0017966 49.2337445, 7.0017849 49.2337488, 7.001767 49.2337555, 7.0018006 49.2337942))","[10571713573, 10571713572, 10571713563, 10571713571, 10571713560, 10571713570, 10571713573]",,1,normal
way,1133937111,,parking_space,,,,"POLYGON ((7.001682 49.2337872, 7.0016942 49.2337826, 7.0017078 49.2337775, 7.0017101 49.2337767, 7.001676 49.2337366, 7.0016477 49.2337472, 7.001682 49.2337872))","[10571713579, 10571713580, 10571713566, 10571713575, 10571713574, 10571713576, 10571713579]",,1,normal
way,1133937112,,parking_space,,,,"POLYGON ((7.0016527 49.2337981, 7.0016645 49.2337936, 7.001682 49.2337872, 7.0016477 49.2337472, 7.0016175 49.2337585, 7.0016527 49.2337981))","[10571713582, 10571713583, 10571713579, 10571713576, 10571713578, 10571713582]",,1,normal
way,1133937113,,parking_space,,,,"POLYGON ((7.0016234 49.233809, 7.0016349 49.2338047, 7.0016527 49.2337981, 7.0016175 49.2337585, 7.0015892 49.2337691, 7.0016234 49.233809))","[10571713585, 10571713586, 10571713582, 10571713578, 10571713577, 10571713585]",,1,normal
way,1133937114,,parking_space,,,,"POLYGON ((7.001698 49.2338321, 7.0017272 49.2338211, 7.0016942 49.2337826, 7.001682 49.2337872, 7.0016645 49.2337936, 7.001698 49.2338321))","[10571713584, 10571713581, 10571713580, 10571713579, 10571713583, 10571713584]",,1,normal
way,1133937115,,parking_space,,,,"POLYGON ((7.0016688 49.2338432, 7.001698 49.2338321, 7.0016645 49.2337936, 7.0016527 49.2337981, 7.0016349 49.2338047, 7.0016688 49.2338432))","[10571713587, 10571713584, 10571713583, 10571713582, 10571713586, 10571713587]",,1,normal
way,1133937116,,parking_space,,,,"POLYGON ((7.0016396 49.2338542, 7.0016688 49.2338432, 7.0016349 49.2338047, 7.0016234 49.233809, 7.0016101 49.2338139, 7.0016052 49.2338157, 7.0016396 49.2338542))","[10571713588, 10571713587, 10571713586, 10571713585, 10571713590, 10571713591, 10571713588]",,1,normal
way,1133937117,,parking_space,,,,"POLYGON ((7.0015808 49.2338248, 7.0015913 49.2338209, 7.0016052 49.2338157, 7.0016101 49.2338139, 7.0015759 49.2337741, 7.0015466 49.233785, 7.0015808 49.2338248))","[10571713595, 10571713596, 10571713591, 10571713590, 10571713589, 10571713592, 10571713595]",,1,normal
way,1133937118,,parking_space,,,,"POLYGON ((7.0015515 49.2338357, 7.0015623 49.2338317, 7.0015808 49.2338248, 7.0015466 49.233785, 7.0015174 49.233796, 7.0015515 49.2338357))","[10571713598, 10571713599, 10571713595, 10571713592, 10571713594, 10571713598]",,1,normal
way,1133937119,,parking_space,,,,"POLYGON ((7.0015222 49.2338467, 7.0015334 49.2338425, 7.0015515 49.2338357, 7.0015174 49.233796, 7.0014881 49.2338069, 7.0015222 49.2338467))","[10571713601, 10571713602, 10571713598, 10571713594, 10571713593, 10571713601]",,1,normal
